ANNOSCOLASTICO,PROVINCIA,TIPOSUPPLENZA,FASCIAETA,ATASUPPLENTIMASCHI,ATASUPPLENTIFEMMINE
201617,TRIESTE,ANNUALE,OLTRE 54,0,5
201617,GROSSETO,ANNUALE,TRA 35 E 44,0,2
201617,OLBIA-TEMPIO,ANNUALE,TRA 35 E 44,0,7
201617,VICENZA,FINO AL TERMINE,TRA 45 E 54,30,101
201617,CATANZARO,FINO AL TERMINE,OLTRE 54,17,30
201617,PAVIA,ANNUALE,OLTRE 54,1,2
201617,LA SPEZIA,FINO AL TERMINE,TRA 35 E 44,1,4
201617,BRINDISI,ANNUALE,OLTRE 54,9,12
201617,ANCONA,FINO AL TERMINE,TRA 35 E 44,10,20
201617,RIMINI,FINO AL TERMINE,TRA 45 E 54,7,39
201617,BARLETTA-ADRIA-TRANI,FINO AL TERMINE,OLTRE 54,13,12
201617,CALTANISSETTA,FINO AL TERMINE,FINO A 34,1,1
201617,FROSINONE,ANNUALE,TRA 45 E 54,3,19
201617,MACERATA,FINO AL TERMINE,OLTRE 54,18,28
201617,MASSA,FINO AL TERMINE,TRA 45 E 54,6,27
201617,TERNI,FINO AL TERMINE,FINO A 34,2,1
201617,SONDRIO,ANNUALE,TRA 45 E 54,2,4
201617,GORIZIA,FINO AL TERMINE,TRA 35 E 44,5,16
201617,LECCE,ANNUALE,TRA 45 E 54,5,3
201617,POTENZA,FINO AL TERMINE,TRA 45 E 54,25,56
201617,BIELLA,FINO AL TERMINE,OLTRE 54,7,8
201617,BENEVENTO,FINO AL TERMINE,OLTRE 54,20,31
201617,BIELLA,FINO AL TERMINE,FINO A 34,12,19
201617,ASTI,ANNUALE,OLTRE 54,4,1
201617,ROMA,FINO AL TERMINE,TRA 35 E 44,91,202
201617,SALERNO,ANNUALE,FINO A 34,1,1
201617,VENEZIA,FINO AL TERMINE,FINO A 34,26,43
201617,CROTONE,FINO AL TERMINE,OLTRE 54,5,10
201617,CUNEO,FINO AL TERMINE,TRA 45 E 54,17,96
201617,NUORO,FINO AL TERMINE,TRA 35 E 44,0,1
201617,L'AQUILA,FINO AL TERMINE,TRA 35 E 44,1,3
201617,BOLOGNA,FINO AL TERMINE,TRA 45 E 54,38,105
201617,NUORO,ANNUALE,FINO A 34,2,0
201617,FROSINONE,ANNUALE,FINO A 34,0,1
201617,ORISTANO,FINO AL TERMINE,TRA 45 E 54,3,12
