ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,FASCIAETA,DOCENTITITOLARIMASCHI,DOCENTITITOLARIFEMMINE
201617,TERNI,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,62
201617,GENOVA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,15,25
201617,SAVONA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,103,197
201617,BELLUNO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,7
201617,CALTANISSETTA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,4,58
201617,LA SPEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,2
201617,AREZZO,SCUOLA PRIMARIA,NORMALE,OLTRE 54,14,383
201617,PALERMO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,8
201617,MESSINA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,3,57
201617,PERUGIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,1
201617,VITERBO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,5,48
201617,NOVARA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,147
201617,TERAMO,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,121
201617,PESARO E URBINO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,10
201617,VERCELLI,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,2,139
201617,LIVORNO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,3,6
201617,LA SPEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,8,31
201617,LECCO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,7
201617,VARESE,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,304,777
201617,BENEVENTO,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,323
201617,PERUGIA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,1,419
201617,ANCONA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,3
201617,CROTONE,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,13,276
201617,ANCONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,24,88
201617,PALERMO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,9,103
201617,VITERBO,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,75,168
201617,MONZA E BRIANZA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,71,136
201617,PORDENONE,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,5,14
201617,SAVONA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,175,316
201617,RIMINI,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,22
201617,BRINDISI,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,5,11
201617,TARANTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,33,82
201617,SALERNO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,2
201617,BENEVENTO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,65,104
201617,BIELLA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,103,170
201617,FROSINONE,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,22
201617,MESSINA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,477,773
201617,PESARO E URBINO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,20,586
201617,ROVIGO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,14,22
201617,PISTOIA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,4
